id,Marital status,Application mode,Application order,Course,evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Output
3207.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,6.0,8.0,6.0,11.571428571428571,0.0,0.0,6.0,9.0,6.0,11.571428571428571,0.0,15.5,2.8,-4.06,0.0
3731.0,1.0,16.0,1.0,5.0,1.0,1.0,1.0,23.0,28.0,10.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,4.0,12.0,13.0,5.0,13.2,0.0,4.0,12.0,12.0,4.0,13.5,0.0,8.9,1.4,3.51,0.0
884.0,1.0,7.0,2.0,12.0,1.0,1.0,1.0,2.0,28.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,8.0,12.0,7.0,12.599999999999998,0.0,0.0,8.0,12.0,7.0,12.599999999999998,0.0,10.8,1.4,1.74,2.0
1394.0,1.0,8.0,5.0,15.0,1.0,1.0,1.0,23.0,28.0,29.0,39.0,1.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,5.0,11.6,0.0,0.0,6.0,6.0,6.0,12.5,0.0,8.9,1.4,3.51,2.0
2659.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,22.0,27.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,6.0,7.0,6.0,11.0,0.0,0.0,6.0,6.0,5.0,12.2,0.0,11.1,0.6,2.02,0.0
48.0,1.0,15.0,1.0,3.0,0.0,14.0,1.0,1.0,14.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,3.0,6.0,6.0,6.0,11.5,0.0,2.0,6.0,7.0,6.0,13.285714285714286,0.0,12.4,0.5,1.79,2.0
2180.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,23.0,28.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0
1306.0,1.0,17.0,1.0,4.0,1.0,16.0,1.0,1.0,28.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,0.0,7.0,12.0,14.0,12.0,14.384615384615383,0.0,5.0,10.0,12.0,10.0,13.3,0.0,8.9,1.4,3.51,2.0
3759.0,1.0,8.0,1.0,17.0,0.0,1.0,1.0,23.0,27.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0
3049.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,23.0,27.0,6.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,9.0,4.0,13.0,0.0,0.0,5.0,8.0,5.0,13.142857142857142,0.0,10.8,1.4,1.74,2.0
280.0,1.0,7.0,2.0,9.0,1.0,1.0,1.0,23.0,27.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,5.0,8.0,4.0,12.0,0.0,0.0,5.0,8.0,4.0,11.4,2.0,16.2,0.3,-0.92,2.0
3162.0,1.0,1.0,4.0,12.0,1.0,1.0,1.0,13.0,28.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,8.0,7.0,14.328571428571427,0.0,0.0,8.0,8.0,7.0,14.328571428571427,0.0,10.8,1.4,1.74,2.0
2971.0,1.0,12.0,1.0,17.0,0.0,3.0,1.0,13.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,5.0,14.0,1.0,11.0,0.0,0.0,5.0,11.0,2.0,12.666666666666666,4.0,16.2,0.3,-0.92,0.0
3018.0,1.0,7.0,2.0,6.0,1.0,1.0,1.0,22.0,27.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,5.0,8.0,5.0,13.166666666666666,2.0,0.0,5.0,5.0,5.0,12.8,0.0,9.4,-0.8,-3.12,2.0
1356.0,1.0,12.0,1.0,15.0,1.0,1.0,1.0,19.0,27.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,6.0,8.0,4.0,11.75,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.6,2.6,0.32,0.0
3682.0,1.0,12.0,1.0,17.0,0.0,1.0,1.0,22.0,27.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,12.7,3.7,-1.7,0.0
3345.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,22.0,28.0,10.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,13.0,2.0,12.0,0.0,0.0,6.0,12.0,1.0,13.0,0.0,7.6,2.6,0.32,0.0
1629.0,1.0,12.0,1.0,7.0,1.0,1.0,1.0,22.0,28.0,10.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,24.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,16.2,0.3,-0.92,0.0
111.0,1.0,8.0,2.0,9.0,1.0,1.0,1.0,1.0,28.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,5.0,9.0,3.0,13.0,0.0,0.0,5.0,11.0,3.0,11.0,0.0,8.9,1.4,3.51,1.0
2360.0,1.0,12.0,1.0,7.0,1.0,1.0,1.0,13.0,14.0,10.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,24.0,0.0,0.0,5.0,12.0,1.0,10.0,0.0,0.0,5.0,11.0,1.0,11.0,0.0,8.9,1.4,3.51,1.0
3965.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,13.0,14.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,8.0,8.0,8.0,13.01125,0.0,0.0,8.0,8.0,8.0,13.01125,0.0,9.4,-0.8,-3.12,2.0
4223.0,1.0,8.0,2.0,11.0,1.0,1.0,1.0,13.0,28.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,6.0,12.714285714285714,0.0,0.0,6.0,6.0,6.0,11.833333333333334,0.0,8.9,1.4,3.51,2.0
2599.0,1.0,8.0,3.0,16.0,1.0,1.0,1.0,23.0,28.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,5.0,13.4,0.0,0.0,6.0,7.0,5.0,12.0,0.0,7.6,2.6,0.32,1.0
3791.0,1.0,15.0,1.0,8.0,1.0,14.0,1.0,3.0,1.0,4.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,20.0,0.0,2.0,6.0,9.0,4.0,11.0,0.0,1.0,6.0,13.0,3.0,10.666666666666666,0.0,12.4,0.5,1.79,0.0
2167.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,23.0,28.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,8.0,4.0,12.0,0.0,0.0,5.0,8.0,5.0,11.2,0.0,11.1,0.6,2.02,2.0
1649.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,28.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,8.0,8.0,7.0,14.36,0.0,0.0,8.0,8.0,7.0,14.36,0.0,10.8,1.4,1.74,2.0
3477.0,1.0,14.0,1.0,17.0,0.0,1.0,1.0,22.0,27.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,6.0,10.0,20.0,6.0,11.5,0.0,5.0,10.0,17.0,5.0,12.4,0.0,9.4,-0.8,-3.12,0.0
2235.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,14.0,5.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,2.0
3046.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,7.0,3.0,12.333333333333334,0.0,0.0,5.0,7.0,4.0,10.25,0.0,7.6,2.6,0.32,1.0
1964.0,1.0,8.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,10.0,4.0,11.25,1.0,0.0,5.0,10.0,3.0,10.333333333333334,0.0,12.7,3.7,-1.7,2.0
2385.0,1.0,15.0,1.0,5.0,1.0,14.0,1.0,13.0,28.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,6.0,6.0,14.5,0.0,0.0,6.0,8.0,6.0,11.333333333333334,0.0,12.4,0.5,1.79,2.0
640.0,2.0,12.0,1.0,14.0,1.0,1.0,1.0,22.0,27.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,6.0,7.0,4.0,13.5,0.0,0.0,6.0,6.0,0.0,0.0,6.0,12.7,3.7,-1.7,0.0
1888.0,1.0,5.0,1.0,6.0,1.0,1.0,9.0,2.0,14.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,0.0,6.0,8.0,6.0,15.0,0.0,0.0,6.0,10.0,5.0,14.333333333333334,0.0,11.1,0.6,2.02,2.0
374.0,2.0,12.0,1.0,6.0,1.0,12.0,1.0,23.0,28.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,0.0
2447.0,2.0,12.0,1.0,11.0,1.0,12.0,1.0,22.0,14.0,10.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0,0.0,7.0,11.0,12.0,2.0,15.0,7.0,4.0,9.0,10.0,3.0,10.0,4.0,16.2,0.3,-0.92,2.0
